"rank","repo","url","grade","value_score","risk_score","stars","forks","open_issues","archived","has_discussions","default_branch","pushed_at","days_since_push","language","license","topics","description"
"1","openclaw/openclaw","https://github.com/openclaw/openclaw","S-优先","100","20","233508","44892","8441","False","True","main","2026/2/27 3:00:24","0","TypeScript","MIT","ai;assistant;crustacean;molty;openclaw;own-your-data;personal","Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 "
"2","zhayujie/chatgpt-on-wechat","https://github.com/zhayujie/chatgpt-on-wechat","A-推荐","87","28","41542","9765","350","False","True","master","2026/2/26 13:01:52","1","Python","MIT","ai;ai-agent;chatgpt;claude;deepseek;dingtalk;feishu-bot;gemini;kimi;linkai;llm;mcp;multi-agent;openai;openclaw;python3;qwen;skills;wechat","CowAgent是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、拥有长期记忆并不断成长。同时支持飞书、钉钉、企业微信应用、微信公众号、网页等接入，可选择OpenAI/Claude/Gemini/DeepSeek/ Qwen/GLM/Kimi/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助手和企业数字员工。"
"3","VoltAgent/awesome-openclaw-skills","https://github.com/VoltAgent/awesome-openclaw-skills","A-推荐","82","20","21065","2105","7","False","False","main","2026/2/25 16:03:29","2",,"MIT","agent-skills;awesome;awesome-list;awesome-lists;clawd;clawdbot;clawdbot-skill;clawdhub;moltbot;moltbot-skills;openclaw;openclaw-skills","The awesome collection of OpenClaw Skills. Formerly known as Moltbot, originally Clawdbot."
"4","HKUDS/nanobot","https://github.com/HKUDS/nanobot","A-推荐","79","40","25864","4091","710","False","True","main","2026/2/27 2:44:21","0","Python","MIT","","""🐈 nanobot: The Ultra-Lightweight OpenClaw"""
"5","CherryHQ/cherry-studio","https://github.com/CherryHQ/cherry-studio","A-推荐","78","28","40280","3715","650","False","True","main","2026/2/27 3:02:37","0","TypeScript","AGPL-3.0","ai-agent;claude-code;code-agent;codex;openclaw;opencode;shannon;skills;superpowers;superpowers-core-skills;vibe-coding","AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs"
"6","qwibitai/nanoclaw","https://github.com/qwibitai/nanoclaw","A-推荐","78","28","15385","2396","202","False","True","main","2026/2/26 22:23:14","1","TypeScript","MIT","ai-agents;ai-assistant;claude-code;claude-skills;clawdbot","A lightweight alternative to Clawdbot / OpenClaw that runs in containers for security. Connects to WhatsApp, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK"
"7","hesamsheikh/awesome-openclaw-usecases","https://github.com/hesamsheikh/awesome-openclaw-usecases","A-推荐","78","20","9888","745","20","False","False","main","2026/2/27 2:02:17","0",,"MIT","awesome-list;clawdbot;moltbot;openclaw;openclaw-plugin;openclaw-setup;openclaw-skills;usecase","A community collection of OpenClaw use cases for making life easier."
"8","openclaw/clawhub","https://github.com/openclaw/clawhub","A-推荐","78","20","3021","629","324","False","False","main","2026/2/26 12:03:31","1","TypeScript","MIT","directory;skill","Skill Directory for OpenClaw"
